"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.18,27.82,SCHLESWIG_HOLSTEIN,3.0,2020-12-11T15:19:15Z,25,15,60.0,602,232,834,427,39
82.45,17.55,HAMBURG,14.16,2020-12-11T15:19:15Z,96,64,66.67,559,119,678,346,34
77.95,22.05,NIEDERSACHSEN,7.63,2020-12-11T15:19:15Z,175,92,52.57,1789,506,2295,1062,153
86.04,13.96,BREMEN,14.41,2020-12-11T15:19:15Z,32,23,71.88,191,31,222,132,14
85.06,14.94,NORDRHEIN_WESTFALEN,15.68,2020-12-11T15:19:15Z,1017,606,59.59,5515,969,6484,2534,406
86.81,13.19,HESSEN,18.26,2020-12-11T15:19:15Z,375,231,61.6,1783,271,2054,891,117
76.81,23.19,RHEINLAND_PFALZ,15.01,2020-12-11T15:19:15Z,180,106,58.89,921,278,1199,456,95
81.41,18.59,BADEN_WUERTTEMBERG,17.79,2020-12-11T15:19:15Z,516,303,58.72,2361,539,2900,1536,182
84.74,15.26,BAYERN,18.73,2020-12-11T15:19:15Z,728,425,58.38,3293,593,3886,1320,270
86.83,13.17,SAARLAND,14.77,2020-12-11T15:19:15Z,74,18,24.32,435,66,501,248,26
88.91,11.09,BERLIN,28.48,2020-12-11T15:19:15Z,362,242,66.85,1130,141,1271,421,64
78.28,21.72,BRANDENBURG,16.56,2020-12-11T15:19:15Z,125,54,43.2,591,164,755,391,56
78.35,21.65,MECKLENBURG_VORPOMMERN,5.98,2020-12-11T15:19:15Z,42,12,28.57,550,152,702,238,42
86.09,13.91,SACHSEN,31.45,2020-12-11T15:19:15Z,511,259,50.68,1399,226,1625,658,95
79.6,20.4,SACHSEN_ANHALT,8.73,2020-12-11T15:19:15Z,83,44,53.01,757,194,951,397,56
79.2,20.8,THUERINGEN,13.08,2020-12-11T15:19:15Z,105,53,50.48,636,167,803,415,45
