bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,3.09,2020-11-08T19:00:05Z,27,11,40.74,528,347,875,437,39
HAMBURG,9.18,2020-11-08T19:00:05Z,68,32,47.06,574,167,741,351,34
NIEDERSACHSEN,6.94,2020-11-08T19:00:05Z,169,98,57.99,1670,766,2436,999,150
BREMEN,13.66,2020-11-08T19:00:05Z,31,19,61.29,185,42,227,142,14
NORDRHEIN_WESTFALEN,12.22,2020-11-08T19:00:05Z,810,510,62.96,5153,1473,6626,2631,402
HESSEN,12.62,2020-11-08T19:00:05Z,269,135,50.19,1679,452,2131,959,118
RHEINLAND_PFALZ,7.05,2020-11-08T19:00:05Z,96,67,69.79,860,502,1362,476,95
BADEN_WUERTTEMBERG,10.71,2020-11-08T19:00:05Z,324,175,54.01,2225,800,3025,1585,181
BAYERN,9.34,2020-11-08T19:00:05Z,374,191,51.07,2902,1103,4005,1928,261
SAARLAND,10.61,2020-11-08T19:00:05Z,57,26,45.61,342,195,537,228,24
BERLIN,20.61,2020-11-08T19:00:05Z,256,170,66.41,1048,194,1242,446,65
BRANDENBURG,8.47,2020-11-08T19:00:05Z,67,41,61.19,539,252,791,406,56
MECKLENBURG_VORPOMMERN,3.24,2020-11-08T19:00:05Z,27,9,33.33,629,204,833,264,42
SACHSEN,15.89,2020-11-08T19:00:05Z,265,106,40.0,1237,431,1668,714,95
SACHSEN_ANHALT,3.28,2020-11-08T19:00:05Z,32,12,37.5,696,280,976,468,56
THUERINGEN,6.3,2020-11-08T19:00:05Z,58,15,25.86,599,321,920,460,45
