"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.53,27.47,SCHLESWIG_HOLSTEIN,3.21,2020-12-15T17:19:13Z,27,16,59.26,610,231,841,433,39
80.32,19.68,HAMBURG,14.14,2020-12-15T17:19:13Z,97,52,53.61,551,135,686,339,34
79.19,20.81,NIEDERSACHSEN,8.1,2020-12-15T17:19:13Z,184,99,53.8,1800,473,2273,1062,152
81.06,18.94,BREMEN,16.74,2020-12-15T17:19:13Z,38,28,73.68,184,43,227,141,14
84.44,15.56,NORDRHEIN_WESTFALEN,16.55,2020-12-15T17:19:13Z,1068,628,58.8,5448,1004,6452,2556,406
87.87,12.13,HESSEN,20.4,2020-12-15T17:19:13Z,417,236,56.59,1796,248,2044,881,117
77.7,22.3,RHEINLAND_PFALZ,15.69,2020-12-15T17:19:13Z,190,111,58.42,941,270,1211,450,95
81.73,18.27,BADEN_WUERTTEMBERG,18.89,2020-12-15T17:19:13Z,549,319,58.11,2375,531,2906,1518,182
84.15,15.85,BAYERN,20.06,2020-12-15T17:19:13Z,782,456,58.31,3280,618,3898,1314,270
86.06,13.94,SAARLAND,14.54,2020-12-15T17:19:13Z,73,25,34.25,432,70,502,247,26
88.32,11.68,BERLIN,29.39,2020-12-15T17:19:13Z,370,238,64.32,1112,147,1259,420,64
76.59,23.41,BRANDENBURG,17.82,2020-12-15T17:19:13Z,137,67,48.91,589,180,769,369,56
75.39,24.61,MECKLENBURG_VORPOMMERN,5.34,2020-12-15T17:19:13Z,38,15,39.47,536,175,711,242,42
86.51,13.49,SACHSEN,33.72,2020-12-15T17:19:13Z,555,287,51.71,1424,222,1646,650,95
80.96,19.04,SACHSEN_ANHALT,10.48,2020-12-15T17:19:13Z,98,57,58.16,757,178,935,399,56
79.52,20.48,THUERINGEN,15.08,2020-12-15T17:19:13Z,120,51,42.5,633,163,796,411,45
