"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.48,22.52,SCHLESWIG_HOLSTEIN,66,9.29,2021-03-01T17:19:13Z,73,54,73.97,609,177,786,477,39
79.3,20.7,HAMBURG,48,12.78,2021-03-01T17:19:13Z,87,50,57.47,540,141,681,334,34
80.21,19.79,NIEDERSACHSEN,197,9.28,2021-03-01T17:19:13Z,204,124,60.78,1763,435,2198,1054,153
89.19,10.81,BREMEN,11,14.86,2021-03-01T17:19:13Z,33,22,66.67,198,24,222,131,14
83.4,16.6,NORDRHEIN_WESTFALEN,510,9.04,2021-03-01T17:19:13Z,580,331,57.07,5350,1065,6415,2518,406
83.28,16.72,HESSEN,134,12.65,2021-03-01T17:19:13Z,267,138,51.69,1758,353,2111,825,117
74.96,25.04,RHEINLAND_PFALZ,123,8.46,2021-03-01T17:19:13Z,102,54,52.94,904,302,1206,453,94
80.75,19.25,BADEN_WUERTTEMBERG,280,8.68,2021-03-01T17:19:13Z,248,134,54.03,2307,550,2857,1392,183
82.41,17.59,BAYERN,344,12.09,2021-03-01T17:19:13Z,464,259,55.82,3163,675,3838,1123,270
80.7,19.3,SAARLAND,46,9.94,2021-03-01T17:19:13Z,51,24,47.06,414,99,513,245,24
85.42,14.58,BERLIN,81,16.88,2021-03-01T17:19:13Z,213,156,73.24,1078,184,1262,384,64
74.54,25.46,BRANDENBURG,74,12.53,2021-03-01T17:19:13Z,95,61,64.21,565,193,758,355,57
73.22,26.78,MECKLENBURG_VORPOMMERN,62,6.84,2021-03-01T17:19:13Z,47,23,48.94,503,184,687,245,40
71.99,28.01,SACHSEN,153,11.07,2021-03-01T17:19:13Z,179,95,53.07,1164,453,1617,648,94
82.21,17.79,SACHSEN_ANHALT,84,9.72,2021-03-01T17:19:13Z,88,47,53.41,744,161,905,338,55
86.38,13.62,THUERINGEN,52,18.39,2021-03-01T17:19:13Z,139,76,54.68,653,103,756,369,45
