bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.58,2020-10-18T21:00:05Z,6,4,66.67,575,457,1032,298,39
HAMBURG,2.53,2020-10-18T21:00:05Z,21,13,61.9,560,271,831,298,34
NIEDERSACHSEN,1.86,2020-10-18T21:00:05Z,48,22,45.83,1683,903,2586,956,151
BREMEN,4.78,2020-10-18T21:00:05Z,10,4,40.0,162,47,209,150,13
NORDRHEIN_WESTFALEN,3.17,2020-10-18T21:00:05Z,226,97,42.92,5022,2097,7119,2610,403
HESSEN,3.11,2020-10-18T21:00:05Z,70,38,54.29,1655,596,2251,981,116
RHEINLAND_PFALZ,1.96,2020-10-18T21:00:05Z,28,15,53.57,859,572,1431,515,95
BADEN_WUERTTEMBERG,2.6,2020-10-18T21:00:05Z,83,43,51.81,2229,966,3195,1653,181
BAYERN,1.99,2020-10-18T21:00:05Z,84,43,51.19,2950,1266,4216,1971,257
SAARLAND,3.55,2020-10-18T21:00:05Z,20,6,30.0,369,195,564,223,23
BERLIN,5.67,2020-10-18T21:00:05Z,70,30,42.86,1007,228,1235,449,65
BRANDENBURG,2.41,2020-10-18T21:00:05Z,20,4,20.0,559,271,830,399,56
MECKLENBURG_VORPOMMERN,0.64,2020-10-18T21:00:05Z,5,2,40.0,546,241,787,299,39
SACHSEN,2.81,2020-10-18T21:00:05Z,50,25,50.0,1152,630,1782,702,95
SACHSEN_ANHALT,1.13,2020-10-18T21:00:05Z,12,5,41.67,710,349,1059,399,56
THUERINGEN,1.77,2020-10-18T21:00:05Z,16,3,18.75,615,291,906,429,44
