"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.13,27.87,SCHLESWIG_HOLSTEIN,2.99,2020-12-12T17:19:04Z,25,17,68.0,603,233,836,429,39
82.25,17.75,HAMBURG,13.17,2020-12-12T17:19:04Z,89,58,65.17,556,120,676,347,34
76.67,23.33,NIEDERSACHSEN,7.84,2020-12-12T17:19:04Z,177,87,49.15,1732,527,2259,1075,153
80.48,19.52,BREMEN,16.67,2020-12-12T17:19:04Z,35,22,62.86,169,41,210,134,14
83.78,16.22,NORDRHEIN_WESTFALEN,15.92,2020-12-12T17:19:04Z,1026,626,61.01,5398,1045,6443,2551,406
87.47,12.53,HESSEN,19.38,2020-12-12T17:19:04Z,396,234,59.09,1787,256,2043,897,117
76.6,23.4,RHEINLAND_PFALZ,15.24,2020-12-12T17:19:04Z,183,105,57.38,920,281,1201,462,95
81.66,18.34,BADEN_WUERTTEMBERG,18.2,2020-12-12T17:19:04Z,527,303,57.5,2365,531,2896,1533,182
83.09,16.91,BAYERN,18.79,2020-12-12T17:19:04Z,729,419,57.48,3224,656,3880,1326,270
81.26,18.74,SAARLAND,14.46,2020-12-12T17:19:04Z,71,21,29.58,399,92,491,259,26
87.02,12.98,BERLIN,28.27,2020-12-12T17:19:04Z,357,233,65.27,1099,164,1263,421,64
76.22,23.78,BRANDENBURG,17.17,2020-12-12T17:19:04Z,130,56,43.08,577,180,757,391,56
75.81,24.19,MECKLENBURG_VORPOMMERN,5.52,2020-12-12T17:19:04Z,39,12,30.77,536,171,707,242,42
85.88,14.12,SACHSEN,32.11,2020-12-12T17:19:04Z,523,260,49.71,1399,230,1629,659,95
78.75,21.25,SACHSEN_ANHALT,8.5,2020-12-12T17:19:04Z,80,43,53.75,741,200,941,398,56
77.69,22.31,THUERINGEN,12.91,2020-12-12T17:19:04Z,103,54,52.43,620,178,798,413,45
