"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
70.46,29.54,SCHLESWIG_HOLSTEIN,3.63,2020-12-20T17:19:11Z,29,15,51.72,563,236,799,454,39
80.84,19.16,HAMBURG,16.36,2020-12-20T17:19:11Z,105,62,59.05,519,123,642,346,34
76.1,23.9,NIEDERSACHSEN,9.05,2020-12-20T17:19:11Z,201,93,46.27,1691,531,2222,1068,152
81.6,18.4,BREMEN,17.45,2020-12-20T17:19:11Z,37,20,54.05,173,39,212,140,14
83.36,16.64,NORDRHEIN_WESTFALEN,16.9,2020-12-20T17:19:11Z,1078,589,54.64,5316,1061,6377,2545,405
84.51,15.49,HESSEN,21.45,2020-12-20T17:19:11Z,432,241,55.79,1702,312,2014,882,117
75.47,24.53,RHEINLAND_PFALZ,17.18,2020-12-20T17:19:11Z,208,99,47.6,914,297,1211,453,95
81.95,18.05,BADEN_WUERTTEMBERG,21.07,2020-12-20T17:19:11Z,593,316,53.29,2306,508,2814,1386,182
82.65,17.35,BAYERN,20.88,2020-12-20T17:19:11Z,806,454,56.33,3191,670,3861,1237,270
75.7,24.3,SAARLAND,15.46,2020-12-20T17:19:11Z,77,29,37.66,377,121,498,247,26
85.82,14.18,BERLIN,29.57,2020-12-20T17:19:11Z,369,238,64.5,1071,177,1248,405,64
81.3,18.7,BRANDENBURG,23.21,2020-12-20T17:19:11Z,175,63,36.0,613,141,754,348,56
72.11,27.89,MECKLENBURG_VORPOMMERN,7.48,2020-12-20T17:19:11Z,55,17,30.91,530,205,735,240,42
83.76,16.24,SACHSEN,36.14,2020-12-20T17:19:11Z,592,285,48.14,1372,266,1638,630,93
78.63,21.37,SACHSEN_ANHALT,14.32,2020-12-20T17:19:11Z,132,61,46.21,725,197,922,390,56
78.14,21.86,THUERINGEN,18.89,2020-12-20T17:19:11Z,146,68,46.58,604,169,773,400,45
