bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.88,2020-10-23T20:00:05Z,9,4,44.44,610,412,1022,305,39
HAMBURG,3.74,2020-10-23T20:00:05Z,31,12,38.71,580,249,829,298,34
NIEDERSACHSEN,2.57,2020-10-23T20:00:05Z,66,34,51.52,1770,796,2566,951,151
BREMEN,7.79,2020-10-23T20:00:05Z,18,9,50.0,190,41,231,135,14
NORDRHEIN_WESTFALEN,4.33,2020-10-23T20:00:05Z,296,134,45.27,5222,1608,6830,2740,399
HESSEN,4.5,2020-10-23T20:00:05Z,98,39,39.8,1749,428,2177,1007,116
RHEINLAND_PFALZ,3.38,2020-10-23T20:00:05Z,48,19,39.58,906,513,1419,525,95
BADEN_WUERTTEMBERG,3.75,2020-10-23T20:00:05Z,118,64,54.24,2317,828,3145,1706,181
BAYERN,2.5,2020-10-23T20:00:05Z,105,47,44.76,3082,1118,4200,2004,260
SAARLAND,5.39,2020-10-23T20:00:05Z,29,10,34.48,374,164,538,232,24
BERLIN,8.92,2020-10-23T20:00:05Z,110,53,48.18,1074,159,1233,459,65
BRANDENBURG,3.86,2020-10-23T20:00:05Z,34,10,29.41,633,247,880,421,57
MECKLENBURG_VORPOMMERN,1.6,2020-10-23T20:00:05Z,12,5,41.67,582,166,748,317,39
SACHSEN,5.86,2020-10-23T20:00:05Z,102,35,34.31,1230,510,1740,725,95
SACHSEN_ANHALT,1.75,2020-10-23T20:00:05Z,18,5,27.78,741,290,1031,456,56
THUERINGEN,2.68,2020-10-23T20:00:05Z,24,4,16.67,637,257,894,417,44
