"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.61,21.39,SCHLESWIG_HOLSTEIN,62,10.7,83,56,67.47,610,166,776,477,39
78.15,21.85,HAMBURG,51,9.99,69,40,57.97,540,151,691,323,34
81.74,18.26,NIEDERSACHSEN,171,10.6,234,130,55.56,1804,403,2207,1005,153
89.64,10.36,BREMEN,17,13.51,30,18,60.0,199,23,222,142,14
84.38,15.62,NORDRHEIN_WESTFALEN,486,10.72,693,403,58.15,5455,1010,6465,2521,406
85.36,14.64,HESSEN,123,16.74,351,179,51.0,1790,307,2097,826,117
76.36,23.64,RHEINLAND_PFALZ,127,11.95,143,69,48.25,914,283,1197,449,94
84.9,15.1,BADEN_WUERTTEMBERG,286,10.12,291,165,56.7,2441,434,2875,1372,183
84.0,16.0,BAYERN,334,14.86,574,311,54.18,3244,618,3862,1082,270
86.8,13.2,SAARLAND,47,12.62,65,36,55.38,447,68,515,247,24
87.05,12.95,BERLIN,90,21.53,276,195,70.65,1116,166,1282,383,64
81.03,18.97,BRANDENBURG,89,18.45,143,81,56.64,628,147,775,339,57
80.11,19.89,MECKLENBURG_VORPOMMERN,52,9.66,68,31,45.59,564,140,704,242,42
74.23,25.77,SACHSEN,143,16.32,264,150,56.82,1201,417,1618,644,94
81.85,18.15,SACHSEN_ANHALT,67,14.7,132,77,58.33,735,163,898,358,55
83.72,16.28,THUERINGEN,69,17.69,138,79,57.25,653,127,780,349,45
