"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.1,23.9,SCHLESWIG_HOLSTEIN,62,11.04,85,54,63.53,586,184,770,476,39
80.33,19.67,HAMBURG,46,10.36,70,39,55.71,543,133,676,332,34
78.84,21.16,NIEDERSACHSEN,180,10.44,226,130,57.52,1706,458,2164,1020,153
86.36,13.64,BREMEN,12,16.67,33,20,60.61,171,27,198,134,14
83.43,16.57,NORDRHEIN_WESTFALEN,504,10.73,685,381,55.62,5326,1058,6384,2534,405
83.94,16.06,HESSEN,130,16.3,340,167,49.12,1751,335,2086,819,116
74.79,25.21,RHEINLAND_PFALZ,127,11.3,134,69,51.49,887,299,1186,461,94
82.36,17.64,BADEN_WUERTTEMBERG,300,9.93,283,161,56.89,2348,503,2851,1379,183
81.54,18.46,BAYERN,363,14.33,549,298,54.28,3123,707,3830,1085,270
78.53,21.47,SAARLAND,52,11.73,59,33,55.93,395,108,503,256,24
83.39,16.61,BERLIN,100,21.16,270,190,70.37,1064,212,1276,385,64
76.7,23.3,BRANDENBURG,85,17.8,136,75,55.15,586,178,764,346,57
77.71,22.29,MECKLENBURG_VORPOMMERN,63,9.29,65,31,47.69,544,156,700,247,42
71.6,28.4,SACHSEN,156,14.73,237,141,59.49,1152,457,1609,641,94
81.47,18.53,SACHSEN_ANHALT,71,14.17,127,74,58.27,730,166,896,354,55
84.07,15.93,THUERINGEN,72,16.97,130,66,50.77,644,122,766,353,45
