bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.94,2020-11-04T20:00:05Z,26,10,38.46,592,291,883,430,39
HAMBURG,6.75,2020-11-04T20:00:05Z,53,31,58.49,580,205,785,334,34
NIEDERSACHSEN,5.48,2020-11-04T20:00:05Z,138,79,57.25,1716,803,2519,1005,151
BREMEN,13.33,2020-11-04T20:00:05Z,32,18,56.25,200,40,240,134,14
NORDRHEIN_WESTFALEN,10.95,2020-11-04T20:00:05Z,739,423,57.24,5371,1378,6749,2784,403
HESSEN,10.73,2020-11-04T20:00:05Z,232,128,55.17,1732,431,2163,968,118
RHEINLAND_PFALZ,6.48,2020-11-04T20:00:05Z,90,49,54.44,893,495,1388,489,95
BADEN_WUERTTEMBERG,9.2,2020-11-04T20:00:05Z,277,146,52.71,2273,737,3010,1667,180
BAYERN,7.68,2020-11-04T20:00:05Z,314,163,51.91,3073,1016,4089,1929,259
SAARLAND,10.0,2020-11-04T20:00:05Z,53,15,28.3,350,180,530,224,24
BERLIN,18.38,2020-11-04T20:00:05Z,225,142,63.11,1071,153,1224,450,65
BRANDENBURG,7.49,2020-11-04T20:00:05Z,61,26,42.62,609,205,814,436,56
MECKLENBURG_VORPOMMERN,2.83,2020-11-04T20:00:05Z,24,9,37.5,683,166,849,271,42
SACHSEN,13.9,2020-11-04T20:00:05Z,234,90,38.46,1320,363,1683,716,95
SACHSEN_ANHALT,2.68,2020-11-04T20:00:05Z,27,15,55.56,732,276,1008,470,56
THUERINGEN,4.82,2020-11-04T20:00:05Z,45,16,35.56,640,294,934,455,45
