"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.55,25.45,SCHLESWIG_HOLSTEIN,8.35,2021-01-14T17:19:09Z,65,41,63.08,580,198,778,473,39
81.19,18.81,HAMBURG,13.93,2021-01-14T17:19:09Z,94,61,64.89,548,127,675,327,34
81.04,18.96,NIEDERSACHSEN,12.81,2021-01-14T17:19:09Z,281,151,53.74,1778,416,2194,1038,153
84.72,15.28,BREMEN,11.79,2021-01-14T17:19:09Z,27,12,44.44,194,35,229,146,14
85.34,14.66,NORDRHEIN_WESTFALEN,15.0,2021-01-14T17:19:09Z,967,543,56.15,5501,945,6446,2455,404
85.76,14.24,HESSEN,21.62,2021-01-14T17:19:09Z,454,257,56.61,1801,299,2100,829,117
77.24,22.76,RHEINLAND_PFALZ,15.61,2021-01-14T17:19:09Z,192,104,54.17,950,280,1230,438,94
85.06,14.94,BADEN_WUERTTEMBERG,18.21,2021-01-14T17:19:09Z,523,327,62.52,2443,429,2872,1382,183
85.43,14.57,BAYERN,21.18,2021-01-14T17:19:09Z,814,479,58.85,3283,560,3843,1141,270
80.73,19.27,SAARLAND,17.53,2021-01-14T17:19:09Z,91,43,47.25,419,100,519,244,24
87.66,12.34,BERLIN,31.69,2021-01-14T17:19:09Z,411,286,69.59,1137,160,1297,382,64
85.29,14.71,BRANDENBURG,30.08,2021-01-14T17:19:09Z,231,113,48.92,655,113,768,330,56
82.3,17.7,MECKLENBURG_VORPOMMERN,12.72,2021-01-14T17:19:09Z,92,36,39.13,595,128,723,218,42
79.52,20.48,SACHSEN,30.48,2021-01-14T17:19:09Z,494,275,55.67,1289,332,1621,616,93
82.65,17.35,SACHSEN_ANHALT,21.1,2021-01-14T17:19:09Z,191,106,55.5,748,157,905,344,55
85.06,14.94,THUERINGEN,24.94,2021-01-14T17:19:09Z,197,112,56.85,672,118,790,352,45
