BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2350,70.93,963,29.07,3313,33,18,1,54.55,"29,1%",177,Baden-Württemberg
3026,70.14,1288,29.86,4314,36,21,0.83,58.33,"29,9%",248,Bayern
1056,82.82,219,17.18,1275,15,9,1.18,60,"17,2%",64,Berlin
607,65.13,325,34.87,932,0,0,0,0,"34,9%",57,Brandenburg
169,70.71,70,29.29,239,4,3,1.67,75,"29,3%",14,Bremen
573,65.49,302,34.51,875,7,5,0.8,71.43,"34,5%",34,Hamburg
1724,74.37,594,25.63,2318,15,4,0.65,26.67,"25,6%",116,Hessen
597,72.98,221,27.02,818,0,0,0,0,27%,39,Mecklenburg-Vorpommern
1806,68.36,836,31.64,2642,20,8,0.76,40,"31,6%",151,Niedersachsen
5122,72.3,1962,27.7,7084,80,51,1.13,63.75,"27,7%",399,Nordrhein-Westfalen
900,61.86,555,38.14,1455,7,4,0.48,57.14,"38,1%",95,Rheinland-Pfalz
362,64.18,202,35.82,564,5,4,0.89,80,"35,8%",23,Saarland
1376,76.23,429,23.77,1805,5,3,0.28,60,"23,8%",95,Sachsen
719,67.89,340,32.11,1059,1,1,0.09,100,"32,1%",56,Sachsen-Anhalt
619,59.18,427,40.82,1046,2,0,0.19,0,"40,8%",39,Schleswig-Holstein
635,70.09,271,29.91,906,3,1,0.33,33.33,"29,9%",44,Thüringen
