BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2292,68.6,1049,31.4,3341,36,17,1.08,47.22,"31,4%",181,Baden-Württemberg
3083,71.76,1213,28.24,4296,36,19,0.84,52.78,"28,2%",248,Bayern
1045,82.48,222,17.52,1267,16,8,1.26,50,"17,5%",64,Berlin
617,66.56,310,33.44,927,1,1,0.11,100,"33,4%",57,Brandenburg
172,71.37,69,28.63,241,4,1,1.66,25,"28,6%",14,Bremen
541,64.25,301,35.75,842,10,5,1.19,50,"35,8%",33,Hamburg
1682,72.91,625,27.09,2307,27,9,1.17,33.33,"27,1%",116,Hessen
580,69.46,255,30.54,835,0,0,0,0,"30,5%",39,Mecklenburg-Vorpommern
1759,66.7,878,33.3,2637,14,12,0.53,85.71,"33,3%",152,Niedersachsen
5008,70.51,2095,29.49,7103,71,40,1,56.34,"29,5%",400,Nordrhein-Westfalen
903,61.68,561,38.32,1464,4,2,0.27,50,"38,3%",95,Rheinland-Pfalz
328,57.34,244,42.66,572,4,3,0.7,75,"42,7%",23,Saarland
1183,66.76,589,33.24,1772,8,4,0.45,50,"33,2%",96,Sachsen
690,65.28,367,34.72,1057,1,0,0.09,0,"34,7%",56,Sachsen-Anhalt
603,57.48,446,42.52,1049,1,1,0.1,100,"42,5%",39,Schleswig-Holstein
606,65.8,315,34.2,921,5,1,0.54,20,"34,2%",44,Thüringen
