BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2415,72.96,895,27.04,3310,50,24,1.51,48,27%,181,Baden-Württemberg
3209,74.45,1101,25.55,4310,49,26,1.14,53.06,"25,6%",253,Bayern
1052,85.04,185,14.96,1237,25,11,2.02,44,15%,65,Berlin
650,69.59,284,30.41,934,1,0,0.11,0,"30,4%",57,Brandenburg
163,77.25,48,22.75,211,1,1,0.47,100,"22,8%",13,Bremen
624,74.73,211,25.27,835,14,7,1.68,50,"25,3%",34,Hamburg
1724,74.63,586,25.37,2310,27,14,1.17,51.85,"25,4%",116,Hessen
575,71.25,232,28.75,807,1,0,0.12,0,"28,8%",39,Mecklenburg-Vorpommern
1811,68.99,814,31.01,2625,21,11,0.8,52.38,31%,152,Niedersachsen
5233,72.63,1972,27.37,7205,82,53,1.14,64.63,"27,4%",406,Nordrhein-Westfalen
955,64.97,515,35.03,1470,11,4,0.75,36.36,35%,95,Rheinland-Pfalz
398,70.32,168,29.68,566,2,2,0.35,100,"29,7%",23,Saarland
1199,67.74,571,32.26,1770,8,5,0.45,62.5,"32,3%",95,Sachsen
741,69.91,319,30.09,1060,2,1,0.19,50,"30,1%",56,Sachsen-Anhalt
626,59.96,418,40.04,1044,4,2,0.38,50,40%,39,Schleswig-Holstein
628,68.56,288,31.44,916,4,2,0.44,50,"31,4%",44,Thüringen
