BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2266,69.9,976,30.1,3242,63,33,1.94,52.38,"30,1%",181,Baden-Württemberg
3014,71.24,1217,28.76,4231,65,34,1.54,52.31,"28,8%",254,Bayern
996,80.91,235,19.09,1231,40,19,3.25,47.5,"19,1%",65,Berlin
579,67.64,277,32.36,856,5,1,0.58,20,"32,4%",57,Brandenburg
175,73.22,64,26.78,239,2,1,0.84,50,"26,8%",14,Bremen
567,68.23,264,31.77,831,12,5,1.44,41.67,"31,8%",34,Hamburg
1685,74.07,590,25.93,2275,39,19,1.71,48.72,"25,9%",115,Hessen
565,70.27,239,29.73,804,3,2,0.37,66.67,"29,7%",39,Mecklenburg-Vorpommern
1709,64.83,927,35.17,2636,37,15,1.4,40.54,"35,2%",152,Niedersachsen
5052,70.52,2112,29.48,7164,130,61,1.81,46.92,"29,5%",404,Nordrhein-Westfalen
854,58.45,607,41.55,1461,14,7,0.96,50,"41,6%",95,Rheinland-Pfalz
381,67.31,185,32.69,566,4,2,0.71,50,"32,7%",23,Saarland
1143,64,643,36,1786,15,6,0.84,40,36%,95,Sachsen
722,68.76,328,31.24,1050,7,2,0.67,28.57,"31,2%",56,Sachsen-Anhalt
598,57.72,438,42.28,1036,3,3,0.29,100,"42,3%",39,Schleswig-Holstein
593,64.32,329,35.68,922,8,2,0.87,25,"35,7%",44,Thüringen
