BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2293,69.53,1005,30.47,3298,34,16,1.03,47.06,"30,5%",177,Baden-Württemberg
2893,69.83,1250,30.17,4143,37,17,0.89,45.95,"30,2%",233,Bayern
1036,81.96,228,18.04,1264,18,11,1.42,61.11,18%,64,Berlin
584,63.96,329,36.04,913,2,0,0.22,0,36%,57,Brandenburg
139,70.92,57,29.08,196,3,3,1.53,100,"29,1%",13,Bremen
521,63.61,298,36.39,819,7,5,0.85,71.43,"36,4%",30,Hamburg
1648,72.41,628,27.59,2276,15,7,0.66,46.67,"27,6%",112,Hessen
569,71.04,232,28.96,801,0,0,0,0,29%,37,Mecklenburg-Vorpommern
1673,64.95,903,35.05,2576,19,9,0.74,47.37,"35,1%",148,Niedersachsen
4734,70.45,1986,29.55,6720,75,48,1.12,64,"29,6%",374,Nordrhein-Westfalen
874,60.15,579,39.85,1453,11,4,0.76,36.36,"39,9%",95,Rheinland-Pfalz
374,66.31,190,33.69,564,5,4,0.89,80,"33,7%",23,Saarland
1283,73.91,453,26.09,1736,6,3,0.35,50,"26,1%",89,Sachsen
655,68.73,298,31.27,953,1,1,0.1,100,"31,3%",47,Sachsen-Anhalt
590,56.46,455,43.54,1045,3,0,0.29,0,"43,5%",39,Schleswig-Holstein
601,66.26,306,33.74,907,4,1,0.44,25,"33,7%",43,Thüringen
