BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
29,56.86,22,43.14,51,0,0,0,0,01001,"Flensburg, Stadt",null,3
112,67.47,54,32.53,166,2,0,1.2,0,01002,"Kiel, Landeshauptstadt",null,5
110,71.43,44,28.57,154,4,1,2.6,25,01003,"Lübeck, Hansestadt",null,2
16,64,9,36,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
42,95.45,2,4.55,44,3,0,6.82,0,01051,Dithmarschen,null,1
11,64.71,6,35.29,17,1,1,5.88,100,01053,Herzogtum Lauenburg,null,2
28,71.79,11,28.21,39,0,0,0,0,01054,Nordfriesland,null,3
30,58.82,21,41.18,51,3,0,5.88,0,01055,Ostholstein,null,3
25,67.57,12,32.43,37,2,1,5.41,50,01056,Pinneberg,null,2
8,66.67,4,33.33,12,4,3,33.33,75,01057,Plön,null,1
29,69.05,13,30.95,42,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
15,62.5,9,37.5,24,1,0,4.17,0,01059,Schleswig-Flensburg,null,1
79,65.83,41,34.17,120,2,1,1.67,50,01060,Segeberg,null,4
30,61.22,19,38.78,49,0,0,0,0,01061,Steinburg,null,3
35,71.43,14,28.57,49,5,3,10.2,60,01062,Stormarn,null,3
594,78.36,164,21.64,758,57,36,7.52,63.16,02000,"Hamburg, Freie und Hansestadt",null,34
100,68.97,45,31.03,145,3,2,2.07,66.67,03101,"Braunschweig, Stadt",null,7
16,55.17,13,44.83,29,5,3,17.24,60,03102,"Salzgitter, Stadt",null,2
31,86.11,5,13.89,36,2,0,5.56,0,03103,"Wolfsburg, Stadt",null,1
26,72.22,10,27.78,36,2,0,5.56,0,03151,Gifhorn,null,2
26,35.62,47,64.38,73,1,1,1.37,100,03153,Goslar,null,2
17,65.38,9,34.62,26,0,0,0,0,03154,Helmstedt,null,1
10,43.48,13,56.52,23,1,0,4.35,0,03155,Northeim,null,2
9,40.91,13,59.09,22,1,0,4.55,0,03157,Peine,null,1
12,75,4,25,16,2,1,12.5,50,03158,Wolfenbüttel,null,1
136,72.73,51,27.27,187,6,4,3.21,66.67,03159,Göttingen,null,8
338,63.53,194,36.47,532,23,15,4.32,65.22,03241,Region Hannover,null,18
15,78.95,4,21.05,19,6,6,31.58,100,03251,Diepholz,null,3
56,78.87,15,21.13,71,1,0,1.41,0,03252,Hameln-Pyrmont,null,6
57,75,19,25,76,4,3,5.26,75,03254,Hildesheim,null,7
8,57.14,6,42.86,14,0,0,0,0,03255,Holzminden,null,1
18,75,6,25,24,0,0,0,0,03256,Nienburg (Weser),null,1
22,84.62,4,15.38,26,4,1,15.38,25,03257,Schaumburg,null,1
31,75.61,10,24.39,41,5,3,12.2,60,03351,Celle,null,3
10,66.67,5,33.33,15,3,2,20,66.67,03352,Cuxhaven,null,2
24,66.67,12,33.33,36,1,1,2.78,100,03353,Harburg,null,3
6,100,0,0,6,0,0,0,0,03354,Lüchow-Dannenberg,null,1
34,77.27,10,22.73,44,2,1,4.55,50,03355,Lüneburg,null,4
