BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2350,70.61,978,29.39,3328,36,15,1.08,41.67,"29,4%",179,Baden-Württemberg
3119,72.96,1156,27.04,4275,32,22,0.75,68.75,27%,247,Bayern
1050,82.87,217,17.13,1267,14,8,1.1,57.14,"17,1%",64,Berlin
634,68.03,298,31.97,932,1,0,0.11,0,32%,57,Brandenburg
160,76.19,50,23.81,210,3,1,1.43,33.33,"23,8%",13,Bremen
580,66.29,295,33.71,875,8,5,0.91,62.5,"33,7%",34,Hamburg
1677,73.1,617,26.9,2294,17,4,0.74,23.53,"26,9%",115,Hessen
617,73.98,217,26.02,834,0,0,0,0,26%,39,Mecklenburg-Vorpommern
1765,67.06,867,32.94,2632,16,8,0.61,50,"32,9%",150,Niedersachsen
5056,72.23,1944,27.77,7000,72,49,1.03,68.06,"27,8%",393,Nordrhein-Westfalen
907,62.08,554,37.92,1461,5,4,0.34,80,"37,9%",95,Rheinland-Pfalz
383,67.91,181,32.09,564,5,2,0.89,40,"32,1%",23,Saarland
1351,74.85,454,25.15,1805,6,4,0.33,66.67,"25,2%",96,Sachsen
701,66.45,354,33.55,1055,0,0,0,0,"33,6%",55,Sachsen-Anhalt
613,58.94,427,41.06,1040,2,2,0.19,100,"41,1%",39,Schleswig-Holstein
640,70.41,269,29.59,909,3,1,0.33,33.33,"29,6%",44,Thüringen
