BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2359,70.84,971,29.16,3330,30,13,0.9,43.33,"29,2%",179,Baden-Württemberg
3181,73.63,1139,26.37,4320,34,22,0.79,64.71,"26,4%",249,Bayern
1063,83.7,207,16.3,1270,16,9,1.26,56.25,"16,3%",64,Berlin
627,67.35,304,32.65,931,0,0,0,0,"32,7%",57,Brandenburg
187,76.33,58,23.67,245,2,1,0.82,50,"23,7%",14,Bremen
594,67.89,281,32.11,875,8,5,0.91,62.5,"32,1%",34,Hamburg
1741,75.04,579,24.96,2320,19,5,0.82,26.32,25%,116,Hessen
633,75.27,208,24.73,841,0,0,0,0,"24,7%",39,Mecklenburg-Vorpommern
1855,69.74,805,30.26,2660,15,9,0.56,60,"30,3%",153,Niedersachsen
5149,72.43,1960,27.57,7109,87,53,1.22,60.92,"27,6%",399,Nordrhein-Westfalen
949,64.82,515,35.18,1464,8,4,0.55,50,"35,2%",95,Rheinland-Pfalz
387,68.86,175,31.14,562,3,3,0.53,100,"31,1%",23,Saarland
1274,71.86,499,28.14,1773,6,2,0.34,33.33,"28,1%",96,Sachsen
724,67.79,344,32.21,1068,0,0,0,0,"32,2%",56,Sachsen-Anhalt
645,61.49,404,38.51,1049,2,1,0.19,50,"38,5%",39,Schleswig-Holstein
659,71.86,258,28.14,917,3,1,0.33,33.33,"28,1%",44,Thüringen
