BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2411,71.78,948,28.22,3359,37,20,1.1,54.05,"28,2%",181,Baden-Württemberg
3238,74.94,1083,25.06,4321,40,24,0.93,60,"25,1%",248,Bayern
1038,84.8,186,15.2,1224,16,12,1.31,75,"15,2%",64,Berlin
640,68.67,292,31.33,932,0,0,0,0,"31,3%",57,Brandenburg
181,74.79,61,25.21,242,4,1,1.65,25,"25,2%",14,Bremen
607,72.87,226,27.13,833,12,7,1.44,58.33,"27,1%",34,Hamburg
1705,74.32,589,25.68,2294,23,11,1,47.83,"25,7%",116,Hessen
635,76.23,198,23.77,833,1,0,0.12,0,"23,8%",39,Mecklenburg-Vorpommern
1828,69.29,810,30.71,2638,15,8,0.57,53.33,"30,7%",152,Niedersachsen
5231,72.5,1984,27.5,7215,72,44,1,61.11,"27,5%",405,Nordrhein-Westfalen
916,62.87,541,37.13,1457,7,3,0.48,42.86,"37,1%",95,Rheinland-Pfalz
374,66.08,192,33.92,566,2,2,0.35,100,"33,9%",23,Saarland
1265,71.67,500,28.33,1765,8,2,0.45,25,"28,3%",96,Sachsen
726,68.56,333,31.44,1059,3,1,0.28,33.33,"31,4%",56,Sachsen-Anhalt
637,61.02,407,38.98,1044,0,0,0,0,39%,39,Schleswig-Holstein
649,70.54,271,29.46,920,5,1,0.54,20,"29,5%",44,Thüringen
