BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2336,70.64,971,29.36,3307,29,17,0.88,58.62,"29,4%",177,Baden-Württemberg
3004,69.34,1328,30.66,4332,34,20,0.78,58.82,"30,7%",248,Bayern
1048,82.13,228,17.87,1276,19,10,1.49,52.63,"17,9%",64,Berlin
616,66.59,309,33.41,925,1,0,0.11,0,"33,4%",57,Brandenburg
163,77.25,48,22.75,211,2,2,0.95,100,"22,8%",13,Bremen
607,69.37,268,30.63,875,11,6,1.26,54.55,"30,6%",34,Hamburg
1659,72.89,617,27.11,2276,12,9,0.53,75,"27,1%",114,Hessen
615,76.68,187,23.32,802,0,0,0,0,"23,3%",37,Mecklenburg-Vorpommern
1816,68.66,829,31.34,2645,14,9,0.53,64.29,"31,3%",150,Niedersachsen
5087,72.14,1965,27.86,7052,80,50,1.13,62.5,"27,9%",398,Nordrhein-Westfalen
923,62.96,543,37.04,1466,9,4,0.61,44.44,37%,94,Rheinland-Pfalz
378,67.02,186,32.98,564,3,3,0.53,100,33%,23,Saarland
1331,74.11,465,25.89,1796,5,1,0.28,20,"25,9%",95,Sachsen
722,68.18,337,31.82,1059,2,1,0.19,50,"31,8%",56,Sachsen-Anhalt
609,58.06,440,41.94,1049,2,0,0.19,0,"41,9%",39,Schleswig-Holstein
624,68.57,286,31.43,910,1,1,0.11,100,"31,4%",44,Thüringen
