BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2359,70.76,975,29.24,3334,33,15,0.99,45.45,1%,181,Baden-Württemberg
3160,73.4,1145,26.6,4305,34,17,0.79,50,"0,8%",249,Bayern
1081,85.59,182,14.41,1263,15,8,1.19,53.33,"1,2%",64,Berlin
599,65.11,321,34.89,920,1,1,0.11,100,"0,1%",57,Brandenburg
181,76.05,57,23.95,238,2,1,0.84,50,"0,8%",14,Bremen
581,66.63,291,33.37,872,9,5,1.03,55.56,1%,34,Hamburg
1715,74.96,573,25.04,2288,23,7,1.01,30.43,1%,116,Hessen
608,72.29,233,27.71,841,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1828,69.29,810,30.71,2638,18,9,0.68,50,"0,7%",153,Niedersachsen
5080,72,1976,28,7056,81,45,1.15,55.56,"1,2%",398,Nordrhein-Westfalen
899,61.53,562,38.47,1461,4,3,0.27,75,"0,3%",95,Rheinland-Pfalz
375,66.14,192,33.86,567,3,2,0.53,66.67,"0,5%",23,Saarland
1249,70.6,520,29.4,1769,6,3,0.34,50,"0,3%",96,Sachsen
715,68.03,336,31.97,1051,0,0,0,0,0%,56,Sachsen-Anhalt
632,60.48,413,39.52,1045,1,1,0.1,100,"0,1%",39,Schleswig-Holstein
639,69.84,276,30.16,915,3,1,0.33,33.33,"0,3%",44,Thüringen
