BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2359,70.88,969,29.12,3328,29,15,0.87,51.72,"0,9%",179,Baden-Württemberg
3096,72.68,1164,27.32,4260,34,20,0.8,58.82,"0,8%",243,Bayern
1081,84.59,197,15.41,1278,16,9,1.25,56.25,"1,3%",64,Berlin
607,66.19,310,33.81,917,2,1,0.22,50,"0,2%",56,Brandenburg
171,70.08,73,29.92,244,3,2,1.23,66.67,"1,2%",14,Bremen
581,68.03,273,31.97,854,7,5,0.82,71.43,"0,8%",33,Hamburg
1704,74.02,598,25.98,2302,19,4,0.83,21.05,"0,8%",116,Hessen
612,73.38,222,26.62,834,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1803,68.11,844,31.89,2647,18,8,0.68,44.44,"0,7%",151,Niedersachsen
5069,72.29,1943,27.71,7012,73,51,1.04,69.86,1%,394,Nordrhein-Westfalen
918,62.75,545,37.25,1463,8,6,0.55,75,"0,6%",95,Rheinland-Pfalz
379,67.2,185,32.8,564,3,2,0.53,66.67,"0,5%",23,Saarland
1258,70.95,515,29.05,1773,7,4,0.39,57.14,"0,4%",96,Sachsen
719,67.96,339,32.04,1058,0,0,0,0,0%,56,Sachsen-Anhalt
643,61.41,404,38.59,1047,2,1,0.19,50,"0,2%",39,Schleswig-Holstein
646,70.45,271,29.55,917,4,1,0.44,25,"0,4%",44,Thüringen
