BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2353,71.17,953,28.83,3306,30,18,0.91,60,"28,8%",177,Baden-Württemberg
3065,71.13,1244,28.87,4309,39,22,0.91,56.41,"28,9%",246,Bayern
1064,83.52,210,16.48,1274,21,11,1.65,52.38,"16,5%",64,Berlin
609,65.84,316,34.16,925,2,0,0.22,0,"34,2%",57,Brandenburg
169,70.71,70,29.29,239,3,3,1.26,100,"29,3%",14,Bremen
571,67.1,280,32.9,851,8,6,0.94,75,"32,9%",33,Hamburg
1698,73.28,619,26.72,2317,15,7,0.65,46.67,"26,7%",116,Hessen
599,74.78,202,25.22,801,1,0,0.12,0,"25,2%",37,Mecklenburg-Vorpommern
1819,68.93,820,31.07,2639,10,7,0.38,70,"31,1%",151,Niedersachsen
5060,71.73,1994,28.27,7054,80,51,1.13,63.75,"28,3%",396,Nordrhein-Westfalen
900,61.9,554,38.1,1454,11,5,0.76,45.45,"38,1%",95,Rheinland-Pfalz
392,69.38,173,30.62,565,5,4,0.88,80,"30,6%",23,Saarland
1348,74.89,452,25.11,1800,6,3,0.33,50,"25,1%",95,Sachsen
724,69.15,323,30.85,1047,1,1,0.1,100,"30,9%",54,Sachsen-Anhalt
617,58.82,432,41.18,1049,2,0,0.19,0,"41,2%",39,Schleswig-Holstein
615,67.58,295,32.42,910,3,2,0.33,66.67,"32,4%",44,Thüringen
