BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2384,71.66,943,28.34,3327,28,15,0.84,53.57,"0,8%",179,Baden-Württemberg
3183,73.71,1135,26.29,4318,34,17,0.79,50,"0,8%",249,Bayern
1070,84.38,198,15.62,1268,15,9,1.18,60,"1,2%",64,Berlin
625,67.13,306,32.87,931,0,0,0,0,0%,57,Brandenburg
183,74.69,62,25.31,245,2,1,0.82,50,"0,8%",14,Bremen
589,67.55,283,32.45,872,9,5,1.03,55.56,1%,34,Hamburg
1743,75.59,563,24.41,2306,18,5,0.78,27.78,"0,8%",116,Hessen
639,75.98,202,24.02,841,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1888,70.92,774,29.08,2662,15,9,0.56,60,"0,6%",153,Niedersachsen
5158,72.97,1911,27.03,7069,81,47,1.15,58.02,"1,2%",398,Nordrhein-Westfalen
924,63.16,539,36.84,1463,5,4,0.34,80,"0,3%",95,Rheinland-Pfalz
371,66.01,191,33.99,562,3,2,0.53,66.67,"0,5%",23,Saarland
1272,71.74,501,28.26,1773,6,3,0.34,50,"0,3%",96,Sachsen
735,69.6,321,30.4,1056,0,0,0,0,0%,56,Sachsen-Anhalt
624,59.83,419,40.17,1043,1,1,0.1,100,"0,1%",39,Schleswig-Holstein
663,72.46,252,27.54,915,2,1,0.22,50,"0,2%",44,Thüringen
