BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2297,69.08,1028,30.92,3325,28,14,0.84,50,"0,8%",179,Baden-Württemberg
3021,71.13,1226,28.87,4247,34,23,0.8,67.65,"0,8%",242,Bayern
1040,81.7,233,18.3,1273,16,9,1.26,56.25,"1,3%",64,Berlin
601,64.48,331,35.52,932,1,0,0.11,0,"0,1%",57,Brandenburg
166,68.03,78,31.97,244,3,2,1.23,66.67,"1,2%",14,Bremen
563,64.27,313,35.73,876,7,5,0.8,71.43,"0,8%",34,Hamburg
1660,72.58,627,27.42,2287,18,5,0.79,27.78,"0,8%",115,Hessen
590,70.57,246,29.43,836,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1757,66.7,877,33.3,2634,20,10,0.76,50,"0,8%",151,Niedersachsen
4868,69.76,2110,30.24,6978,75,52,1.07,69.33,"1,1%",390,Nordrhein-Westfalen
899,61.53,562,38.47,1461,7,6,0.48,85.71,"0,5%",95,Rheinland-Pfalz
350,62.06,214,37.94,564,3,2,0.53,66.67,"0,5%",23,Saarland
1178,66.63,590,33.37,1768,6,4,0.34,66.67,"0,3%",96,Sachsen
693,66.32,352,33.68,1045,0,0,0,0,0%,56,Sachsen-Anhalt
618,58.97,430,41.03,1048,3,1,0.29,33.33,"0,3%",39,Schleswig-Holstein
624,68.57,286,31.43,910,3,1,0.33,33.33,"0,3%",44,Thüringen
