BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2380,73.32,866,26.68,3246,54,25,1.66,46.3,"26,7%",181,Baden-Württemberg
3086,72.89,1148,27.11,4234,56,36,1.32,64.29,"27,1%",254,Bayern
1032,84.66,187,15.34,1219,34,17,2.79,50,"15,3%",65,Berlin
664,72.41,253,27.59,917,4,1,0.44,25,"27,6%",57,Brandenburg
181,77.02,54,22.98,235,2,1,0.85,50,23%,14,Bremen
597,71.84,234,28.16,831,18,8,2.17,44.44,"28,2%",34,Hamburg
1768,76.87,532,23.13,2300,31,17,1.35,54.84,"23,1%",116,Hessen
608,75.72,195,24.28,803,1,1,0.12,100,"24,3%",39,Mecklenburg-Vorpommern
1799,67.78,855,32.22,2654,23,12,0.87,52.17,"32,2%",152,Niedersachsen
5222,72.3,2001,27.7,7223,94,57,1.3,60.64,"27,7%",407,Nordrhein-Westfalen
914,62.39,551,37.61,1465,12,5,0.82,41.67,"37,6%",95,Rheinland-Pfalz
388,68.67,177,31.33,565,3,1,0.53,33.33,"31,3%",23,Saarland
1190,66.11,610,33.89,1800,12,6,0.67,50,"33,9%",95,Sachsen
752,70.48,315,29.52,1067,5,2,0.47,40,"29,5%",56,Sachsen-Anhalt
614,58.59,434,41.41,1048,2,2,0.19,100,"41,4%",39,Schleswig-Holstein
634,68.39,293,31.61,927,7,2,0.76,28.57,"31,6%",44,Thüringen
