BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2308,71.46,922,28.54,3230,64,33,1.98,51.56,"28,5%",181,Baden-Württemberg
3058,72.55,1157,27.45,4215,65,35,1.54,53.85,"27,5%",254,Bayern
1004,81.89,222,18.11,1226,39,19,3.18,48.72,"18,1%",65,Berlin
615,71.85,241,28.15,856,4,1,0.47,25,"28,2%",57,Brandenburg
167,70.46,70,29.54,237,2,1,0.84,50,"29,5%",14,Bremen
598,71.96,233,28.04,831,12,6,1.44,50,28%,34,Hamburg
1731,76.09,544,23.91,2275,32,15,1.41,46.88,"23,9%",115,Hessen
584,72.46,222,27.54,806,3,2,0.37,66.67,"27,5%",39,Mecklenburg-Vorpommern
1737,65.85,901,34.15,2638,31,13,1.18,41.94,"34,2%",152,Niedersachsen
5210,72.87,1940,27.13,7150,109,60,1.52,55.05,"27,1%",406,Nordrhein-Westfalen
903,62.23,548,37.77,1451,12,6,0.83,50,"37,8%",95,Rheinland-Pfalz
393,69.43,173,30.57,566,3,1,0.53,33.33,"30,6%",23,Saarland
1176,66.07,604,33.93,1780,12,6,0.67,50,"33,9%",95,Sachsen
745,70.95,305,29.05,1050,6,2,0.57,33.33,"29,1%",56,Sachsen-Anhalt
590,56.62,452,43.38,1042,2,2,0.19,100,"43,4%",39,Schleswig-Holstein
626,68.27,291,31.73,917,8,2,0.87,25,"31,7%",44,Thüringen
