BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2340,72.07,907,27.93,3247,55,25,1.69,45.45,"27,9%",181,Baden-Württemberg
3110,73.4,1127,26.6,4237,56,35,1.32,62.5,"26,6%",255,Bayern
1043,84.8,187,15.2,1230,34,17,2.76,50,"15,2%",65,Berlin
645,69.43,284,30.57,929,4,1,0.43,25,"30,6%",57,Brandenburg
187,78.9,50,21.1,237,1,0,0.42,0,"21,1%",14,Bremen
600,71.6,238,28.4,838,17,9,2.03,52.94,"28,4%",34,Hamburg
1777,76.99,531,23.01,2308,30,16,1.3,53.33,23%,116,Hessen
608,75.72,195,24.28,803,0,0,0,0,"24,3%",39,Mecklenburg-Vorpommern
1815,68.31,842,31.69,2657,29,13,1.09,44.83,"31,7%",152,Niedersachsen
5244,72.43,1996,27.57,7240,93,57,1.28,61.29,"27,6%",407,Nordrhein-Westfalen
922,62.98,542,37.02,1464,10,6,0.68,60,37%,95,Rheinland-Pfalz
395,69.66,172,30.34,567,3,1,0.53,33.33,"30,3%",23,Saarland
1194,65.79,621,34.21,1815,9,7,0.5,77.78,"34,2%",95,Sachsen
751,70.45,315,29.55,1066,5,2,0.47,40,"29,6%",55,Sachsen-Anhalt
636,60.69,412,39.31,1048,2,2,0.19,100,"39,3%",39,Schleswig-Holstein
646,69.69,281,30.31,927,6,2,0.65,33.33,"30,3%",44,Thüringen
