BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2399,77.31,704,22.69,3103,423,228,13.63,53.9,"13,6%",183,Baden-Württemberg
3163,77.15,937,22.85,4100,515,306,12.56,59.42,"12,6%",262,Bayern
1116,88.15,150,11.85,1266,308,193,24.33,62.66,"24,3%",64,Berlin
610,74.03,214,25.97,824,73,47,8.86,64.38,"8,9%",58,Brandenburg
187,77.92,53,22.08,240,36,26,15,72.22,15%,14,Bremen
583,80.08,145,19.92,728,85,56,11.68,65.88,"11,7%",34,Hamburg
1717,82.11,374,17.89,2091,289,165,13.82,57.09,"13,8%",117,Hessen
561,78.24,156,21.76,717,30,19,4.18,63.33,"4,2%",41,Mecklenburg-Vorpommern
1731,71,707,29,2438,195,113,8,57.95,8%,152,Niedersachsen
5344,80.48,1296,19.52,6640,927,552,13.96,59.55,14%,403,Nordrhein-Westfalen
893,66.94,441,33.06,1334,139,76,10.42,54.68,"10,4%",94,Rheinland-Pfalz
368,69.57,161,30.43,529,66,20,12.48,30.3,"12,5%",24,Saarland
1291,77.31,379,22.69,1670,294,160,17.6,54.42,"17,6%",95,Sachsen
750,74.93,251,25.07,1001,52,26,5.19,50,"5,2%",56,Sachsen-Anhalt
578,67.84,274,32.16,852,24,14,2.82,58.33,"2,8%",39,Schleswig-Holstein
654,70.02,280,29.98,934,84,25,8.99,29.76,9%,45,Thüringen
