BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2357,75.67,758,24.33,3115,413,229,13.26,55.45,"13,3%",183,Baden-Württemberg
3102,76.18,970,23.82,4072,503,292,12.35,58.05,"12,4%",262,Bayern
1131,87.07,168,12.93,1299,304,194,23.4,63.82,"23,4%",66,Berlin
594,71.22,240,28.78,834,75,49,8.99,65.33,9%,58,Brandenburg
184,79.31,48,20.69,232,34,25,14.66,73.53,"14,7%",14,Bremen
578,78.96,154,21.04,732,85,51,11.61,60,"11,6%",34,Hamburg
1686,80.1,419,19.9,2105,286,160,13.59,55.94,"13,6%",117,Hessen
553,77.13,164,22.87,717,31,17,4.32,54.84,"4,3%",41,Mecklenburg-Vorpommern
1698,69.31,752,30.69,2450,197,118,8.04,59.9,8%,152,Niedersachsen
5248,79.36,1365,20.64,6613,922,546,13.94,59.22,"13,9%",401,Nordrhein-Westfalen
890,66.67,445,33.33,1335,129,79,9.66,61.24,"9,7%",94,Rheinland-Pfalz
343,65.09,184,34.91,527,69,26,13.09,37.68,"13,1%",24,Saarland
1240,74.3,429,25.7,1669,271,144,16.24,53.14,"16,2%",95,Sachsen
705,70.71,292,29.29,997,51,24,5.12,47.06,"5,1%",56,Sachsen-Anhalt
561,66.39,284,33.61,845,27,15,3.2,55.56,"3,2%",39,Schleswig-Holstein
626,66.38,317,33.62,943,74,20,7.85,27.03,"7,9%",45,Thüringen
