BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2205,68.56,1011,31.44,3216,93,47,2.89,50.54,"2,9%",181,Baden-Württemberg
2930,69.65,1277,30.35,4207,92,45,2.19,48.91,"2,2%",257,Bayern
1009,81.9,223,18.1,1232,84,38,6.82,45.24,"6,8%",65,Berlin
575,64.53,316,35.47,891,22,5,2.47,22.73,"2,5%",56,Brandenburg
161,77.03,48,22.97,209,12,4,5.74,33.33,"5,7%",13,Bremen
555,66.79,276,33.21,831,21,13,2.53,61.9,"2,5%",34,Hamburg
1670,74.02,586,25.98,2256,81,40,3.59,49.38,"3,6%",116,Hessen
546,69.38,241,30.62,787,5,2,0.64,40,"0,6%",39,Mecklenburg-Vorpommern
1682,64.47,927,35.53,2609,50,30,1.92,60,"1,9%",151,Niedersachsen
5082,70.97,2079,29.03,7161,246,106,3.44,43.09,"3,4%",405,Nordrhein-Westfalen
871,60.49,569,39.51,1440,34,17,2.36,50,"2,4%",95,Rheinland-Pfalz
352,62.3,213,37.7,565,18,6,3.19,33.33,"3,2%",24,Saarland
1163,65.12,623,34.88,1786,53,24,2.97,45.28,3%,95,Sachsen
713,67.9,337,32.1,1050,17,5,1.62,29.41,"1,6%",56,Sachsen-Anhalt
593,57.24,443,42.76,1036,7,4,0.68,57.14,"0,7%",39,Schleswig-Holstein
605,67.83,287,32.17,892,19,2,2.13,10.53,"2,1%",44,Thüringen
