BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2384,71.23,963,28.77,3347,40,20,1.2,50,"1,2%",181,Baden-Württemberg
3157,73.4,1144,26.6,4301,36,19,0.84,52.78,"0,8%",248,Bayern
1074,84.97,190,15.03,1264,14,7,1.11,50,"1,1%",64,Berlin
636,68.53,292,31.47,928,0,0,0,0,0%,57,Brandenburg
180,75,60,25,240,4,2,1.67,50,"1,7%",14,Bremen
597,72.63,225,27.37,822,12,6,1.46,50,"1,5%",34,Hamburg
1712,74.11,598,25.89,2310,25,13,1.08,52,"1,1%",116,Hessen
623,74.61,212,25.39,835,2,0,0.24,0,"0,2%",39,Mecklenburg-Vorpommern
1824,69.01,819,30.99,2643,11,10,0.42,90.91,"0,4%",152,Niedersachsen
5169,72.19,1991,27.81,7160,67,40,0.94,59.7,"0,9%",402,Nordrhein-Westfalen
948,64.93,512,35.07,1460,6,3,0.41,50,"0,4%",95,Rheinland-Pfalz
358,63.14,209,36.86,567,3,3,0.53,100,"0,5%",23,Saarland
1220,68.89,551,31.11,1771,8,4,0.45,50,"0,5%",96,Sachsen
726,68.68,331,31.32,1057,3,0,0.28,0,"0,3%",56,Sachsen-Anhalt
633,60.4,415,39.6,1048,1,1,0.1,100,"0,1%",39,Schleswig-Holstein
633,68.8,287,31.2,920,4,1,0.43,25,"0,4%",44,Thüringen
