BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2398,71.37,962,28.63,3360,26,18,0.77,69.23,"0,8%",178,Baden-Württemberg
3111,72.33,1190,27.67,4301,31,17,0.72,54.84,"0,7%",245,Bayern
1090,85.22,189,14.78,1279,15,8,1.17,53.33,"1,2%",64,Berlin
649,69.49,285,30.51,934,3,0,0.32,0,"0,3%",57,Brandenburg
173,72.69,65,27.31,238,3,3,1.26,100,"1,3%",14,Bremen
613,70.06,262,29.94,875,10,7,1.14,70,"1,1%",34,Hamburg
1768,76.47,544,23.53,2312,14,8,0.61,57.14,"0,6%",116,Hessen
639,76.99,191,23.01,830,1,0,0.12,0,"0,1%",39,Mecklenburg-Vorpommern
1829,68.94,824,31.06,2653,14,9,0.53,64.29,"0,5%",151,Niedersachsen
4948,71.85,1939,28.15,6887,76,48,1.1,63.16,"1,1%",400,Nordrhein-Westfalen
940,64.25,523,35.75,1463,17,6,1.16,35.29,"1,2%",94,Rheinland-Pfalz
385,68.38,178,31.62,563,4,3,0.71,75,"0,7%",23,Saarland
1306,72.92,485,27.08,1791,6,4,0.34,66.67,"0,3%",95,Sachsen
723,67.89,342,32.11,1065,3,2,0.28,66.67,"0,3%",56,Sachsen-Anhalt
659,62.82,390,37.18,1049,3,2,0.29,66.67,"0,3%",39,Schleswig-Holstein
633,69.87,273,30.13,906,3,0,0.33,0,"0,3%",44,Thüringen
