BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2282,69.28,1012,30.72,3294,52,25,1.58,48.08,"1,6%",181,Baden-Württemberg
3063,71.25,1236,28.75,4299,57,36,1.33,63.16,"1,3%",253,Bayern
1006,80.87,238,19.13,1244,30,15,2.41,50,"2,4%",65,Berlin
605,65.48,319,34.52,924,2,0,0.22,0,"0,2%",57,Brandenburg
148,70.14,63,29.86,211,2,0,0.95,0,1%,13,Bremen
569,67.9,269,32.1,838,17,11,2.03,64.71,2%,34,Hamburg
1672,72.6,631,27.4,2303,30,16,1.3,53.33,"1,3%",116,Hessen
585,72.85,218,27.15,803,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1708,63.95,963,36.05,2671,30,14,1.12,46.67,"1,1%",152,Niedersachsen
5085,70.43,2135,29.57,7220,91,57,1.26,62.64,"1,3%",407,Nordrhein-Westfalen
904,61.71,561,38.29,1465,13,6,0.89,46.15,"0,9%",95,Rheinland-Pfalz
365,64.6,200,35.4,565,2,2,0.35,100,"0,4%",23,Saarland
1130,63.7,644,36.3,1774,9,6,0.51,66.67,"0,5%",95,Sachsen
721,67.89,341,32.11,1062,3,0,0.28,0,"0,3%",56,Sachsen-Anhalt
621,59.26,427,40.74,1048,5,2,0.48,40,"0,5%",39,Schleswig-Holstein
615,67.07,302,32.93,917,10,2,1.09,20,"1,1%",44,Thüringen
