BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2404,72.67,904,27.33,3308,47,23,1.42,48.94,"1,4%",181,Baden-Württemberg
3148,73.31,1146,26.69,4294,52,28,1.21,53.85,"1,2%",253,Bayern
1058,85.53,179,14.47,1237,25,15,2.02,60,2%,65,Berlin
615,66.2,314,33.8,929,2,0,0.22,0,"0,2%",57,Brandenburg
163,79.13,43,20.87,206,2,0,0.97,0,1%,13,Bremen
603,74.17,210,25.83,813,17,9,2.09,52.94,"2,1%",33,Hamburg
1716,75.03,571,24.97,2287,28,14,1.22,50,"1,2%",116,Hessen
578,71.71,228,28.29,806,0,0,0,0,0%,39,Mecklenburg-Vorpommern
1802,68.75,819,31.25,2621,25,15,0.95,60,1%,152,Niedersachsen
5140,71.65,2034,28.35,7174,85,53,1.18,62.35,"1,2%",407,Nordrhein-Westfalen
930,63.39,537,36.61,1467,14,5,0.95,35.71,1%,95,Rheinland-Pfalz
388,68.67,177,31.33,565,1,1,0.18,100,"0,2%",23,Saarland
1182,66.93,584,33.07,1766,7,4,0.4,57.14,"0,4%",95,Sachsen
730,69.13,326,30.87,1056,2,1,0.19,50,"0,2%",56,Sachsen-Anhalt
626,59.96,418,40.04,1044,5,3,0.48,60,"0,5%",39,Schleswig-Holstein
630,68.7,287,31.3,917,5,2,0.55,40,"0,6%",44,Thüringen
