GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,22.04.2021,23.04.2021,24.04.2021,25.04.2021,26.04.2021,27.04.2021,28.04.2021,29.04.2021,30.04.2021,01.05.2021,02.05.2021,03.05.2021,04.05.2021,05.05.2021,06.05.2021,07.05.2021,08.05.2021,09.05.2021,10.05.2021,11.05.2021,12.05.2021,13.05.2021,14.05.2021,15.05.2021,16.05.2021,17.05.2021,18.05.2021,19.05.2021,20.05.2021,21.05.2021,22.05.2021,23.05.2021,24.05.2021,25.05.2021,26.05.2021,27.05.2021,28.05.2021,29.05.2021,30.05.2021,31.05.2021,01.06.2021,02.06.2021,03.06.2021,04.06.2021,05.06.2021,06.06.2021,07.06.2021,08.06.2021,09.06.2021,10.06.2021,11.06.2021,12.06.2021,13.06.2021,14.06.2021,15.06.2021,16.06.2021,17.06.2021,18.06.2021,19.06.2021,20.06.2021,21.06.2021,22.06.2021,23.06.2021,24.06.2021,25.06.2021,26.06.2021,27.06.2021,28.06.2021,29.06.2021,30.06.2021,01.07.2021,02.07.2021,03.07.2021,04.07.2021,05.07.2021,06.07.2021,07.07.2021,08.07.2021,09.07.2021,10.07.2021,11.07.2021,12.07.2021,13.07.2021,14.07.2021,15.07.2021,16.07.2021,17.07.2021,18.07.2021,19.07.2021,20.07.2021,21.07.2021,22.07.2021,23.07.2021,24.07.2021,25.07.2021,26.07.2021,27.07.2021,28.07.2021,29.07.2021,30.07.2021,31.07.2021,01.08.2021,02.08.2021,03.08.2021,04.08.2021,05.08.2021,06.08.2021,07.08.2021,08.08.2021,09.08.2021,10.08.2021,11.08.2021,12.08.2021,13.08.2021,14.08.2021,15.08.2021,16.08.2021,17.08.2021,18.08.2021,19.08.2021,20.08.2021,21.08.2021,22.08.2021,23.08.2021,24.08.2021,25.08.2021,26.08.2021,27.08.2021,28.08.2021,29.08.2021,30.08.2021,31.08.2021,01.09.2021,02.09.2021,03.09.2021,04.09.2021,05.09.2021,06.09.2021,07.09.2021,08.09.2021,09.09.2021,10.09.2021,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,current,current_time
Westerwaldkreis,7143,2021.0,,,,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,7985.0,7985.0,15964.0,15964.0,8979.0,8979.0,8979.0,8979.0,8979.0,18107.0,18414.0,18414.0,18414.0,18414.0,18414.0,18414.0,21193.0,21193.0,14433.0,14433.0,14433.0,14433.0,15839.0,15839.0,15839.0,15839.0,15839.0,15839.0,15839.0,18778.0,18778.0,19357.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,20167.0,27340.0,27340.0,28328.0,28328.0,28328.0,28328.0,28328.0,28328.0,32617.0,32617.0,34482.0,34482.0,34482.0,34482.0,34482.0,34482.0,34482.0,34482.0,41330.0,41330.0,41330.0,43783.0,43783.0,43783.0,43783.0,43783.0,43783.0,43783.0,43783.0,43783.0,43783.0,52074.0,52074.0,52074.0,53862.0,54693.0,54693.0,54693.0,54693.0,57421.0,57421.0,57421.0,59708.0,59708.0,59708.0,59708.0,59708.0,59708.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,92616.0,113509.0,113509.0,113509.0,113509.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,121081.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270.0,142270,142270,06/11/2021 00:00
Trier,7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/2021 00:00
Bernkastel-Wittlich,7231,2727.0,,,,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,7319.0,7319.0,7319.0,7319.0,7319.0,7319.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,8866.0,12903.0,12903.0,12903.0,12903.0,12903.0,12903.0,12903.0,12903.0,12903.0,14578.0,14578.0,14578.0,14578.0,14578.0,14578.0,14578.0,16615.0,16615.0,16615.0,16615.0,16615.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,25714.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141.0,44141,44141,06/11/2021 00:00
Eifelkreis Bitburg-Prüm,7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337.0,84337,84337,05/11/2021 00:00
Vulkaneifel,7233,2304.0,,,,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,5237.0,5237.0,4153.0,4153.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,10070.0,10070.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,10570.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,19843.0,19843.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,20965.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094.0,28094,28094,06/11/2021 00:00
Trier-Saarburg,7235,8600.0,,,,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406.0,18406,18406,05/11/2021 00:00
Frankenthal (Pfalz),7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
Kaiserslautern,7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/2021 00:00
Landau in der Pfalz,7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/2021 00:00
Ludwigshafen am Rhein,7314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
Mainz,7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229.0,60229,60229,06/11/2021 00:00
Neustadt an der Weinstraße,7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033.0,66033,66033,05/11/2021 00:00
Pirmasens,7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
Speyer,7318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
Worms,7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/2021 00:00
Zweibrücken,7320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
